            Comp.1       Comp.2       Comp.3        Comp.4        Comp.5
  [1,]  5.65949047 -0.302128773 -0.302128150 -0.0872721208 -0.0901198504
  [2,]  5.31743990 -0.189090793 -0.399756048 -0.0490635899 -0.0266080175
  [3,]  5.30304730  0.121355402 -0.048483328 -0.1278243931  0.0353567525
  [4,]  5.16470354 -0.137654218 -0.360817323 -0.0756341646 -0.0490168304
  [5,]  5.11767885 -0.421032738 -0.179847674  0.1373497379 -0.2158627899
  [6,]  4.91899918 -0.025878071  0.011852959 -0.0752719599 -0.1002860726
  [7,]  4.90468177 -0.678141638 -0.718605452  0.8341560019  0.2193620100
  [8,]  4.85158826  0.353432368  0.181219422  0.7885667995 -0.0299178581
  [9,]  4.71836033 -0.110329641 -0.592949723 -0.4130163877 -0.2277683084
 [10,]  4.70357740 -0.118850468 -0.430163676 -0.0391591555 -0.2006003934
 [11,]  4.48874223 -0.082970305 -0.505793888 -0.4023462740  0.1874960341
 [12,]  4.43104379  0.045802251 -0.445767000 -0.2041055683 -0.1475238979
 [13,]  4.39327467 -0.001432926  0.059674642 -0.0607927291 -0.2274254406
 [14,]  4.37789912 -0.502764306 -0.157925333  0.0825565864 -0.1763458551
 [15,]  4.29858029 -0.221412792 -0.126895002 -0.1253321815 -0.1254120462
 [16,]  4.22488556 -0.467361033 -0.227680450 -0.0406358719 -0.1562770679
 [17,]  4.09462915 -0.089650899  0.108108206  0.9035034234  0.0451758289
 [18,]  3.80013623 -0.170326875 -0.098040318  0.2657487939  0.1045264859
 [19,]  3.79353803  0.029027148  0.362202032 -0.1282639258 -0.0119405546
 [20,]  3.67308692  0.235458464  0.022915901 -0.2376536558 -0.2306762586
 [21,]  3.55859132 -0.026349059 -0.152827106 -0.0472923679 -0.1511419892
 [22,]  3.47722392  0.114226409 -0.499807567 -0.3114820853 -0.0488840630
 [23,]  3.45557946 -0.939832704  0.430354821  0.3653238622  0.0932684004
 [24,]  3.35943326 -0.784826183  0.125349368  0.4262867801  0.4292224216
 [25,]  3.20910696  0.048356575  0.451272162 -0.0153394543 -0.1141499932
 [26,]  3.07016136  0.222285042  0.022809444 -0.3330260237  0.3008500032
 [27,]  2.97249800 -0.079279296 -0.442189192  0.0214489449 -0.2207040926
 [28,]  2.93730250  0.095520755  0.235065683 -0.0180041099 -0.3148821521
 [29,]  2.86904712  0.164541891  0.370912778 -0.0005167816  0.0463737200
 [30,]  2.79330053  0.010798539 -0.414035356 -0.5825329189  0.0297088396
 [31,]  2.76381546  0.569744924  0.218354678  0.1563664838  0.4073923234
 [32,]  2.75730140  0.071603658  0.504442683 -0.2449773950  0.2024857072
 [33,]  2.62832910  0.892125946  0.142708901 -0.3879348114  0.0301877314
 [34,]  2.47530924  0.297856334  0.303475176  0.1640200295  0.3621311867
 [35,]  2.46764101  0.265383507 -0.028891642  0.1384094151 -0.1567641332
 [36,]  2.34413663  0.530307612  0.212558022  0.1535198643  0.2130201213
 [37,]  2.29376948 -0.624619665 -0.259677745 -0.0912106019  0.2348113476
 [38,]  2.25416773  0.246464672 -0.495476222 -0.1473900701  0.0822950366
 [39,]  2.08198077 -0.485844094  0.229076772  0.1710064251 -0.0084534867
 [40,]  1.69122955  0.939285170  0.342616551  0.0614551550  0.3391162806
 [41,]  1.68796178  0.615230460 -1.017533473  0.6102511308  0.2301078281
 [42,]  1.66648033 -0.090650022 -0.088360784 -0.0360966693  0.0210060272
 [43,]  1.66070376  0.490001183  0.294013555  0.5766681866 -0.1839375137
 [44,]  1.41670338 -0.520891134 -0.320961313  0.3247908183  0.1590423448
 [45,]  1.38043374  0.068157189  0.174293591 -0.0241450387 -0.1009377638
 [46,]  1.30981931  0.008890934 -0.002157295  0.1211688598 -0.2389585560
 [47,]  1.21179116  0.797701523  0.499374357  0.7960592433 -0.0593175185
 [48,]  1.20078169  0.179946616  0.296924868 -0.1304032307 -0.1654631854
